@relation 'NPS_Class-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.RemoveType-Tstring-weka.filters.unsupervised.attribute.Remove-V-R570,4,1000,1004,221,573,372,1177,925,1466,1528'

@attribute GATS1s numeric
@attribute nBase numeric
@attribute SsssN numeric
@attribute SsOH numeric
@attribute AATS5p numeric
@attribute GATS4s numeric
@attribute AATSC3s numeric
@attribute IC5 numeric
@attribute NsOH numeric
@attribute nRot numeric
@attribute Class {Phenethylamines,Cannabinoids,Opioids,'Other substances',Benzodiazepines,Cathinones}

@data
0.677582,1,0,10.392386,1.121688,1.461649,0.119549,5.241962,1,6,Phenethylamines
0.967367,1,0,0,1.332868,0.903769,-0.006838,5.428758,0,6,Phenethylamines
0.741755,1,2.326818,11.094886,1.125979,1.234985,0.032989,5.487677,1,11,Phenethylamines
1.036311,0,0,10.793331,1.117036,0.794453,-0.02263,5.192712,1,6,Cannabinoids
0.81663,1,0,0,1.277787,1.066474,-0.012146,5.155549,0,6,Phenethylamines
0.533185,0,0,0,1.195866,0.81358,-0.060341,4.543465,0,4,Cannabinoids
0.508739,0,0,0,1.226467,0.817989,0.06149,4.822824,0,7,Cannabinoids
0.48766,0,0,0,1.174071,0.701402,0.04315,4.779572,0,7,Cannabinoids
0.482146,0,0,0,1.173735,0.653638,0.034761,4.822824,0,7,Cannabinoids
0.508361,0,0,0,1.208064,0.820515,0.060389,4.822824,0,7,Cannabinoids
0.547201,1,2.364522,0,1.146645,0.862424,0.078521,5.274666,0,12,Opioids
0.781567,0,0,9.47001,1.104169,0.895995,-0.085516,4.864252,1,6,Cannabinoids
0.483402,0,0,0,1.183281,0.68813,-0.005114,4.865031,0,7,Cannabinoids
1.253871,1,0,0,0.99197,0.786591,-0.045503,4.257756,0,3,Cannabinoids
0.482146,0,0,0,1.185336,0.702357,0.003214,4.822824,0,7,Cannabinoids
0.46506,0,0,0,1.274355,1.056148,0.028908,4.779572,0,7,Cannabinoids
0.479594,0,0,0,1.249717,0.579154,-0.049942,5.006239,0,5,Cannabinoids
0.547188,0,0,0,1.350892,1.288934,0.09748,5.476725,0,8,Cannabinoids
0.623878,0,0,0,1.12419,0.975921,-0.019599,4.365637,0,4,Cannabinoids
0.63163,0,0,0,1.110663,1.095228,0.012434,4.781701,0,6,Cannabinoids
0.624061,1,2.479048,0,1.071118,1.002773,0.002925,4.689456,0,4,Cannabinoids
0.579581,0,0,0,1.249696,0.99385,-0.052822,5.495628,0,10,Cannabinoids
0.515325,0,0,0,1.344349,0.974702,-0.04701,5.418157,0,7,Cannabinoids
0.496008,1,4.39283,0,1.239909,1.082285,-0.000917,5.373557,0,8,Cannabinoids
1.169293,1,0,10.465176,1.106033,1.467853,0.093938,5.150747,1,12,Phenethylamines
0.57756,0,0,0,1.251054,1.000925,-0.085005,5.526814,0,10,Cannabinoids
0.699131,1,2.48409,0,1.307607,0.961471,-0.032266,5.341293,0,7,Phenethylamines
0.951026,1,2.63473,21.110846,1.16339,0.767727,0.094824,5.539241,2,3,Phenethylamines
0.977599,1,2.44524,33.397402,1.113783,1.061313,0.030441,5.557355,3,3,Phenethylamines
0.524022,0,0,0,1.26478,1.186678,-0.02128,5.538945,0,10,Cannabinoids
0.600687,0,0,0,1.241589,1.004874,0.050487,5.375222,0,7,Cannabinoids
0.550588,1,2.386756,0,1.176147,1.539182,0.076378,4.925119,0,6,Opioids
0.477895,0,0,0,1.25276,0.64328,0.048223,4.878085,0,4,Cannabinoids
0.501401,0,0,0,1.4656,0.999794,0.03989,5.599542,0,7,Cannabinoids
0.736137,0,0,0,1.771313,1.113654,-0.009949,4.936286,0,1,Opioids
0.560755,1,2.362957,0,1.19285,0.855921,0.069966,5.1357,0,11,Opioids
0.590706,0,0,0,1.196388,0.842625,-0.191754,5.241962,0,7,Phenethylamines
0.482995,0,1.710131,0,1.216929,1.265161,-0.049722,5.136298,0,4,Phenethylamines
