SMILES,DrugClass
C(C1=CC=CC=C1)N1CCC(CC1)N(C(C(C)C)=O)C1=CC=C(C=C1)F,Opioids
C1CCN(C1)C(CC2=CC=CC=C2)CC3=CC=CC=C3,Piperidines & pyrrolidines
C1(=CC=CC=C1)C1(CCCCC1)N1CCCCCC1,Arylcyclohexylamines
C1(=CC=CC=C1)C1(CCCCC1)N1CCC1,Arylcyclohexylamines
COC1=CC=C(C(OC)=C1OC)CN2CCNCC2,Piperazine derivates
ClC1=C(Cl)C(N2CCNCC2)=CC=C1,Piperazine derivates
O=C(C1=CC2=C(CCC2)C=C1)C(C3=CC=CC=C3)N4CCCC4,Cathinones
COC1=CC=C(OC)C(CN2CCNCC2)=C1,Piperazine derivates
ClC1=C(C=CC=C1F)N1CCNCC1,Piperazine derivates
COC1=C(C=CC=C1)N1CCNCC1,Piperazine derivates
COC1=CC(N2CCNCC2)=CC=C1,Piperazine derivates
CC1=CC(CN2CCNCC2)=CC=C1,Piperazine derivates
BrC1=CC(=C(C=C1OC)C(C)N)OC,Phenethylamines
CCCC(N1CCCCC1)C(C2=CC=C(F)C=C2)=O,Cathinones
CC1=CC=C(C=C1)CN2CCNCC2,Piperazine derivates
CC(N1CCCCC1)C(C2=CC=C(C)C=C2)=O,Cathinones
CC1=CC=C(S1)CC(C)N,Unknown
CC(CC(C)N)C,Unknown
O=C1CC(C2=C1C=CC=C2)=O,Unknown
OCCCCO,Unknown
CC(CCC(C)N)C,Unknown
CC1(C)[C@@]2([H])[C@](C[C@H](C(O)=O)CC2)([H])C3=C(C=C(CCCCC)C=C3O)O1,Cannabinoids
NC1CCC2=C1C=CC=C2,Aminoindanes
C(CCC)(=O)N1C=C2C[C@H]3N(C[C@@H](C=C3C=3C=CC=C1C32)C(=O)N(CC)CC)C,Indolalkylamines
C1(CC1)C(=O)N1C=C2C[C@H]3N(C[C@@H](C=C3C=3C=CC=C1C32)C(=O)N(CC)CC)CC=C,Indolalkylamines
CN1[C@](C2=C[C@@H](C(N(CC)CC)=O)C1)([H])CC3=CN(C(C4CC4)=O)C5=C3C2=CC=C5,Indolalkylamines
COC1=CC(C2CCCCC2)=CC=C1,Unknown
N1(CC2CCCCC2)C=CC3=C1C=CC=C3,Indolalkylamines
ClC1=CC=CC=C1C2=NCC3=NN=CN3C4=CC=C(Br)C=C24,Benzodiazepines
C(C)OC1=CC=C(CC2=NC3=C(N2CC2N(CCC2)CC)C=CC(=C3)[N+](=O)[O-])C=C1,Opioids
OC1(C#C)CCCCC1,Unknown
O=C(C1=CNC2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3,Cannabinoids
C1(=CC=CC2=CC=CC=C12)C1(CCCCC1)N1CCCCC1,Arylcyclohexylamines
CN([C@H]1[C@@H](CCCC1)N(C(=O)C1=CC=CC2=CC=CC=C12)C)C,Opioids
CC(C1=CC=CC=C1)N,Phenethylamines
CCCCCN1C=CC2=C1C=CC=C2,Indolalkylamines
O=C([C@H](C=C12)CN(CC)[C@]2([H])CC3=CN(C(CC)=O)C4=C3C1=CC=C4)N(CC)CC,Indolalkylamines
OC1CCN(CCC2=CC=CC=C2)CC1,Piperidines & pyrrolidines
CCC(C1=CC=CC=C1)N,Phenethylamines
CCC(N1CCCCC1)C(C2=CC=CC=C2)=O,Cathinones
